imdb_url,season,episode_number_relative,title,airdate,rating,reviews_amount
https://www.imdb.com/title/tt0348034/?ref_=ttep_ep1,1,1,Simpsons Roasting on an Open Fire,1994-06-23,81,7800
https://www.imdb.com/title/tt0756593/?ref_=ttep_ep2,1,2,Bart the Genius,1990-01-14,77,5200
https://www.imdb.com/title/tt0701124/?ref_=ttep_ep3,1,3,Homer's Odyssey,1990-01-21,73,4600
https://www.imdb.com/title/tt0756399/?ref_=ttep_ep4,1,4,There's No Disgrace Like Home,1990-01-28,77,4500
https://www.imdb.com/title/tt0701059/?ref_=ttep_ep5,1,5,Bart the General,1990-02-04,79,4900
https://www.imdb.com/title/tt0701178/?ref_=ttep_ep6,1,6,Moaning Lisa,1990-02-11,76,4400
https://www.imdb.com/title/tt0701228/?ref_=ttep_ep7,1,7,The Call of the Simpsons,1990-02-18,77,4300
https://www.imdb.com/title/tt0756398/?ref_=ttep_ep8,1,8,The Telltale Head,1990-02-25,76,4100
https://www.imdb.com/title/tt0701152/?ref_=ttep_ep9,1,9,Life on the Fast Lane,1990-03-18,74,4100
https://www.imdb.com/title/tt0701123/?ref_=ttep_ep10,1,10,Homer's Night Out,1990-03-25,73,4000
https://www.imdb.com/title/tt0701232/?ref_=ttep_ep11,1,11,The Crepes of Wrath,1990-04-15,78,4000
https://www.imdb.com/title/tt0701147/?ref_=ttep_ep12,1,12,Krusty Gets Busted,1990-04-29,83,4400
https://www.imdb.com/title/tt0701215/?ref_=ttep_ep13,1,13,Some Enchanted Evening,1990-05-13,77,4300
https://www.imdb.com/title/tt0763024/?ref_=ttep_ep1,2,1,Bart Gets an F,1990-10-11,82,4400
https://www.imdb.com/title/tt0701211/?ref_=ttep_ep2,2,2,Simpson and Delilah,1990-10-18,82,4500
https://www.imdb.com/title/tt0701278/?ref_=ttep_ep3,2,3,Treehouse of Horror,1990-10-25,82,4700
https://www.imdb.com/title/tt0757023/?ref_=ttep_ep4,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,1990-11-01,80,3800
https://www.imdb.com/title/tt0701084/?ref_=ttep_ep5,2,5,Dancin' Homer,1990-11-08,74,3600
https://www.imdb.com/title/tt0767442/?ref_=ttep_ep6,2,6,Dead Putting Society,1990-11-15,79,3600
https://www.imdb.com/title/tt0701062/?ref_=ttep_ep7,2,7,Bart vs. Thanksgiving,1990-11-22,77,3500
https://www.imdb.com/title/tt0767438/?ref_=ttep_ep8,2,8,Bart the Daredevil,1990-12-06,83,3900
https://www.imdb.com/title/tt0701140/?ref_=ttep_ep9,2,9,Itchy & Scratchy & Marge,1990-12-20,81,3900
https://www.imdb.com/title/tt0757017/?ref_=ttep_ep10,2,10,Bart Gets Hit by a Car,1991-01-10,78,3500
https://www.imdb.com/title/tt0701195/?ref_=ttep_ep11,2,11,"One Fish, Two Fish, Blowfish, Blue Fish",1991-01-24,88,4700
https://www.imdb.com/title/tt0701269/?ref_=ttep_ep12,2,12,The Way We Was,1991-01-31,82,3600
https://www.imdb.com/title/tt0767443/?ref_=ttep_ep13,2,13,Homer vs. Lisa and the 8th Commandment,1991-02-07,80,3400
https://www.imdb.com/title/tt0767445/?ref_=ttep_ep14,2,14,Principal Charming,1991-02-14,74,3300
https://www.imdb.com/title/tt0701191/?ref_=ttep_ep15,2,15,"Oh Brother, Where Art Thou?",1991-02-21,83,3700
https://www.imdb.com/title/tt0701063/?ref_=ttep_ep16,2,16,Bart's Dog Gets an F,1991-03-07,74,3200
https://www.imdb.com/title/tt0701192/?ref_=ttep_ep17,2,17,Old Money,1991-03-28,76,3200
https://www.imdb.com/title/tt0701077/?ref_=ttep_ep18,2,18,Brush with Greatness,1991-04-11,79,3300
https://www.imdb.com/title/tt0701164/?ref_=ttep_ep19,2,19,Lisa's Substitute,1991-04-25,86,4400
https://www.imdb.com/title/tt0766140/?ref_=ttep_ep20,2,20,The War of the Simpsons,1991-05-02,78,3200
https://www.imdb.com/title/tt0701275/?ref_=ttep_ep21,2,21,Three Men and a Comic Book,1991-05-09,83,3800
https://www.imdb.com/title/tt0767440/?ref_=ttep_ep22,2,22,Blood Feud,1991-07-11,78,3100
