,title_clean,title_clean
45,burns verkaufen der kraftwerk burns to sell the power plant,burns verkaufen der kraftwerk
130,home sweet homediddly dum doodily,home sweet home dum diddly doodily
152,summer of 4 ft 2,summer of 42
161,el viaje misterioso de nuestro jomer the mysterious voyage of homer,el viaje misterioso de nuestro jomer
170,homer vs the eighteenth amendment,homer vs the 18th amendment
230,e i e i doh,e i e i annoyed grunt
239,alone again natura diddily,alone again natura diddly
251,lisa the tree hugger,lisa the treehugger
256,homя,homr
263,bye bye nerdie,bye bye nerdy
290,poppas got a brand new badge,papas got a brand new badge
293,bart vs lisa vs the third grade,bart vs lisa vs 3rd grade
305,ce doh,cedoh
325,smart and smarter,smart  smarter
366,were on the road to doh where,were on the road to dohwhere
377,marge and homer turn a couple play,homer and marge turn a couple play
379,jazzy and the pussycats,jazzy  the pussycats
382,gi doh,gi annoyed grunt
386,kill gil volumes i  ii,kill gil vol 1  2
392,rome old and julie eh,rome old and juli eh
401,the homer of seville,homer of seville
438,waverly hills 9 0 2 1 doh,waverly hills 9021 doh
448,o brother where bart thou?,oh brother where bart thou?
479,a midsummers nice dream,a midsummers nice dreams
645,krusty the clown episode,krusty the clown
679,warrin priests part one,warrin priests
680,warrin priests part two,warrin priests part 2
697,do pizzabots dream of electric guitars?,do pizza bots dream of electric guitars
710,a serious flanders part one,a serious flanders
711,a serious flanders part two,a serious flanders part 2
739,the many saints of springfield,
740,carl carlson rides again,
